well_tag_number,development_method_code
60066,AIR_LIFT
60086,AIR_LIFT
60086,SURGE
60092,AIR_LIFT
60092,SURGE
60110,AIR_LIFT
60110,SURGE
60116,AIR_LIFT
60116,SURGE
60231,BAIL
60231,SURGE
60240,BAIL
60337,SURGE
60359,SURGE
60359,BAIL
60532,SURGE
60532,AIR_LIFT
60533,AIR_LIFT
60542,AIR_LIFT
60552,SURGE
60552,AIR_LIFT
60612,AIR_LIFT
60645,AIR_LIFT
60645,JET
60678,BAIL
60772,BAIL
60773,BAIL
60822,BAIL
60930,AIR_LIFT
61012,AIR_LIFT
61071,AIR_LIFT
61086,AIR_LIFT
61143,AIR_LIFT
61274,SURGE
61299,SURGE
61370,SURGE
61370,AIR_LIFT
61407,AIR_LIFT
61524,AIR_LIFT
61626,AIR_LIFT
61777,AIR_LIFT
61777,JET
61837,AIR_LIFT
61846,SURGE
62076,AIR_LIFT
62110,AIR_LIFT
62154,AIR_LIFT
62221,AIR_LIFT
62221,SURGE
62226,BAIL
62226,SURGE
62239,BAIL
62239,SURGE
62249,BAIL
62254,AIR_LIFT
62372,OTHER
62385,AIR_LIFT
62423,SURGE
62423,AIR_LIFT
62424,AIR_LIFT
62424,SURGE
62431,PUMP
62482,AIR_LIFT
62489,AIR_LIFT
62785,AIR_LIFT
62791,BAIL
62829,AIR_LIFT
62830,AIR_LIFT
62932,AIR_LIFT
62983,BAIL
63019,AIR_LIFT
63147,AIR_LIFT
63158,AIR_LIFT
63162,AIR_LIFT
63168,AIR_LIFT
63168,SURGE
63169,AIR_LIFT
63169,SURGE
63170,AIR_LIFT
63170,SURGE
63171,SURGE
63171,AIR_LIFT
63172,SURGE
63172,AIR_LIFT
63175,AIR_LIFT
63175,SURGE
63179,AIR_LIFT
63179,SURGE
63181,AIR_LIFT
63182,SURGE
63182,AIR_LIFT
63192,AIR_LIFT
63195,AIR_LIFT
63203,AIR_LIFT
63235,AIR_LIFT
63237,PUMP
63237,SURGE
63237,AIR_LIFT
63238,AIR_LIFT
63239,AIR_LIFT
63250,AIR_LIFT
63251,AIR_LIFT
63253,AIR_LIFT
63258,SURGE
63258,AIR_LIFT
63273,AIR_LIFT
63274,AIR_LIFT
63275,AIR_LIFT
63275,SURGE
63277,AIR_LIFT
63355,AIR_LIFT
63420,AIR_LIFT
63430,BAIL
63432,PUMP
63432,SURGE
63467,AIR_LIFT
63468,AIR_LIFT
63469,SURGE
63469,BAIL
63469,PUMP
63474,PUMP
63489,AIR_LIFT
63490,AIR_LIFT
63588,BAIL
63738,AIR_LIFT
63874,BAIL
63878,AIR_LIFT
63963,BAIL
63963,AIR_LIFT
64066,BAIL
64106,BAIL
64113,AIR_LIFT
64120,BAIL
64128,AIR_LIFT
64192,AIR_LIFT
64193,SURGE
64220,AIR_LIFT
64420,AIR_LIFT
64451,AIR_LIFT
64479,AIR_LIFT
64602,AIR_LIFT
64709,AIR_LIFT
64958,AIR_LIFT
65002,AIR_LIFT
65008,AIR_LIFT
65030,AIR_LIFT
65090,AIR_LIFT
65186,AIR_LIFT
65198,AIR_LIFT
65199,AIR_LIFT
65236,OTHER
65272,AIR_LIFT
65374,AIR_LIFT
65408,BAIL
65412,AIR_LIFT
65577,AIR_LIFT
66039,SURGE
66039,BAIL
66039,PUMP
66233,AIR_LIFT
66276,BAIL
66276,SURGE
66341,AIR_LIFT
66343,AIR_LIFT
66595,AIR_LIFT
66599,AIR_LIFT
66746,AIR_LIFT
66814,BAIL
66815,BAIL
66817,BAIL
66818,BAIL
66894,AIR_LIFT
66971,BAIL
66971,SURGE
66971,PUMP
66972,PUMP
66972,SURGE
66972,BAIL
66974,AIR_LIFT
66980,AIR_LIFT
66980,SURGE
66981,SURGE
66981,AIR_LIFT
66982,AIR_LIFT
66983,AIR_LIFT
67005,BAIL
67005,AIR_LIFT
67009,BAIL
67032,PUMP
67050,PUMP
67052,BAIL
67052,PUMP
67129,SURGE
67129,BAIL
67130,BAIL
67143,AIR_LIFT
67169,AIR_LIFT
67177,PUMP
67196,AIR_LIFT
67299,AIR_LIFT
67579,BAIL
67585,AIR_LIFT
67622,AIR_LIFT
67805,AIR_LIFT
67815,AIR_LIFT
67860,AIR_LIFT
67866,AIR_LIFT
67869,SURGE
67869,PUMP
67875,AIR_LIFT
67878,AIR_LIFT
67880,AIR_LIFT
67882,AIR_LIFT
67884,AIR_LIFT
67884,SURGE
67887,AIR_LIFT
67889,AIR_LIFT
67894,SURGE
67894,AIR_LIFT
67895,AIR_LIFT
67905,AIR_LIFT
67905,SURGE
67913,AIR_LIFT
67913,SURGE
67915,AIR_LIFT
67931,SURGE
67931,AIR_LIFT
67933,SURGE
67933,AIR_LIFT
67938,AIR_LIFT
67947,AIR_LIFT
67949,AIR_LIFT
67949,SURGE
67958,AIR_LIFT
67958,SURGE
67961,AIR_LIFT
67961,OTHER
67973,AIR_LIFT
67973,SURGE
67975,AIR_LIFT
67979,AIR_LIFT
67985,SURGE
67985,AIR_LIFT
68014,AIR_LIFT
68018,AIR_LIFT
68020,AIR_LIFT
68022,AIR_LIFT
68024,AIR_LIFT
68028,AIR_LIFT
68032,AIR_LIFT
68034,AIR_LIFT
68036,AIR_LIFT
68044,BAIL
68047,AIR_LIFT
68059,SURGE
68059,AIR_LIFT
68064,SURGE
68064,AIR_LIFT
68068,AIR_LIFT
68114,AIR_LIFT
68129,BAIL
68129,AIR_LIFT
68131,AIR_LIFT
68133,AIR_LIFT
68184,AIR_LIFT
68251,OTHER
68260,AIR_LIFT
68270,PUMP
68270,BAIL
68334,PUMP
68337,AIR_LIFT
68343,AIR_LIFT
68344,PUMP
68347,AIR_LIFT
68357,BAIL
68357,PUMP
68359,BAIL
68359,PUMP
68360,BAIL
68360,PUMP
68361,BAIL
68363,PUMP
68363,BAIL
68364,BAIL
68364,PUMP
68365,BAIL
68365,PUMP
68366,BAIL
68446,BAIL
68549,AIR_LIFT
68597,BAIL
68615,BAIL
68616,BAIL
68629,AIR_LIFT
68632,BAIL
68632,SURGE
68976,BAIL
68986,BAIL
68992,BAIL
69023,BAIL
69028,BAIL
69036,SURGE
69058,AIR_LIFT
69058,SURGE
69068,AIR_LIFT
69090,AIR_LIFT
69114,AIR_LIFT
69118,AIR_LIFT
69122,AIR_LIFT
69127,AIR_LIFT
69130,AIR_LIFT
69169,AIR_LIFT
69282,AIR_LIFT
69309,AIR_LIFT
69313,SURGE
69313,AIR_LIFT
69317,SURGE
69317,AIR_LIFT
69331,AIR_LIFT
69342,AIR_LIFT
69362,OTHER
69382,AIR_LIFT
69392,AIR_LIFT
69398,AIR_LIFT
69535,AIR_LIFT
69541,AIR_LIFT
69543,AIR_LIFT
69612,AIR_LIFT
69860,AIR_LIFT
69860,SURGE
69864,AIR_LIFT
69866,AIR_LIFT
69884,BAIL
69884,AIR_LIFT
69884,PUMP
69884,SURGE
69884,JET
69890,AIR_LIFT
69896,AIR_LIFT
69906,AIR_LIFT
69940,SURGE
69940,BAIL
69942,BAIL
69942,SURGE
69962,AIR_LIFT
69964,AIR_LIFT
69974,SURGE
70007,AIR_LIFT
70013,BAIL
70025,AIR_LIFT
70027,AIR_LIFT
70029,AIR_LIFT
70033,AIR_LIFT
70043,AIR_LIFT
70047,AIR_LIFT
70049,AIR_LIFT
70051,AIR_LIFT
70053,AIR_LIFT
